year,country,arrivals
2021,LUX,10
2021,LVA,48
2021,MCO,3
2021,MDA,3
2021,MDG,3
2021,MDV,948
2021,MEX,120
2021,MHL,2
2021,MKD,11
2021,MLI,19
2021,MLT,13
2021,MMR,1658
2021,MNE,76
2021,MNG,19
2021,MOZ,51
2021,MRT,42
2021,MUS,146
2021,MWI,31
2021,NAM,19
2021,NER,2
2021,NGA,1267
2021,NIC,8
2021,NLD,865
2021,NOR,240
2021,NPL,1132
2021,NZL,305
2021,OMN,187
2021,PAK,5183
2021,PAN,21
2021,PER,22
2021,PHL,7840
2021,PNG,12
2021,POL,358
2021,PRK,1
2021,PRT,151
2021,PSE,251
2021,QAT,50
2021,ROU,334
2021,RUS,955
2021,RWA,15
2021,SAU,1147
2021,SDN,692
2021,SEN,50
2021,SGP,17692
2021,SGS,1
2021,SLB,2
2021,SLE,21
2021,SLV,2
2021,SMR,1
2021,SOM,402
2021,SRB,34
2021,SSD,38
2021,STP,2
2021,SVK,110
2021,SVN,20
2021,SWE,433
2021,SWZ,11
2021,SYC,103
2021,SYR,410
2021,TCD,19
2021,TGO,6
2021,THA,319365
2021,TJK,38
2021,TKM,29
2021,TLS,25
2021,TTO,14
2021,TUN,78
2021,TUR,549
2021,TWN,1161
2021,TZA,214
2021,UGA,60
2021,UKR,800
2021,URY,9
2021,USA,3265
2021,UZB,197
2021,VAT,5
2021,VEN,37
2021,VNM,1305
2021,VUT,9
2021,XXX,175
2021,YEM,1201
2021,ZAF,489
2021,ZMB,108
2021,ZWE,98
2022,MAR,5153
2022,ABW,2
2022,Afghanistan,865
2022,AGO,35
2022,AIA,1
2022,ALB,350
2022,AND,36
2022,ARE,3624
2022,ARG,2432
2022,ARM,258
2022,ATA,2
2022,ATG,140
2022,AUS,179375
2022,AUT,7026
2022,AZE,645
2022,BDI,31
2022,BEL,9146
2022,BEN,64
2022,BFA,42
2022,BGD,239144
2022,BGR,1559
2022,BHR,1349
2022,BHS,50
2022,BIH,407
2022,BLR,1360
2022,BLZ,51
2022,BOL,176
2022,BRA,6974
2022,BRB,51
2022,BRN,398291
2022,BTN,334
2022,BWA,124
2022,CAF,1
2022,CAN,36410
2022,CCK,2
2022,CHE,12202
2022,CHL,1251
2022,CHN,294311
2022,CIV,182
2022,CMR,191
2022,COD,69
2022,COG,16
2022,COL,1247
2022,COM,106
2022,CPV,23
2022,CRI,449
2022,CUB,212
2022,CYP,487
2022,CZE,3902
2022,DEU,68276
2022,DJI,122
2022,DMA,248
2022,DNK,9290
2022,DOM,127
2022,DZA,3700
2022,ECU,457
2022,EGY,14332
2022,ERI,114
2022,ESP,25221
2022,EST,1012
2022,ETH,298
2022,FIN,4791
2022,FJI,928
2022,FRA,70056
2022,FSM,2
2022,GAB,68
2022,GBR,163998
2022,GEO,385
2022,GHA,507
2022,GIB,1
2022,GIN,365
2022,GMB,164
2022,GNB,3
2022,GNQ,8
2022,GRC,1676
2022,GRD,137
2022,GTM,118
2022,GUY,28
2022,HKG,1380
2022,HND,114
2022,HRV,1270
2022,HTI,46
2022,HUN,3331
2022,IDN,1742038
2022,IND,472326
2022,IOT,2
2022,IRL,11060
2022,IRN,10149
2022,IRQ,7069
2022,ISL,281
2022,ISR,7
2022,ITA,23538
2022,JAM,122
2022,JOR,5406
2022,JPN,127017
2022,KAZ,3569
2022,KEN,2597
2022,KGZ,1403
2022,KHM,49331
2022,KIR,5
2022,KNA,564
2022,KOR,187941
2022,KWT,4660
2022,LAO,9562
2022,LBN,1734
2022,LBR,83
2022,LBY,2649
2022,LCA,97
2022,LIE,53
2022,LKA,30050
2022,LSO,52
2022,LTU,1605
2022,LUX,345
2022,LVA,856
2022,MAC,16
2022,MCO,22
2022,MDA,192
2022,MDG,179
2022,MDV,20229
2022,MEX,4094
2022,MHL,18
2022,MKD,205
2022,MLI,53
2022,MLT,427
2022,MMR,74927
2022,MNE,85
2022,MNG,2868
2022,MOZ,204
2022,MRT,216
2022,MUS,6484
2022,MWI,174
2022,NAM,116
2022,NCL,1
2022,NER,23
2022,NGA,3820
2022,NIC,62
2022,NLD,36994
2022,NOR,5893
2022,NPL,179897
2022,NRU,9
2022,NZL,21918
2022,OMN,7282
2022,PAK,88260
2022,PAN,138
2022,PER,889
2022,PHL,234363
2022,PLW,15
2022,PNG,450
2022,POL,9646
2022,PRT,5812
2022,PRY,73
2022,PSE,2459
2022,QAT,1376
2022,ROU,4435
2022,RUS,40730
2022,RWA,59
2022,SAU,38796
2022,SDN,7415
2022,SEN,229
2022,SGP,8389031
2022,SGS,4
2022,SLB,73
2022,SLE,136
2022,SLV,82
2022,SMR,8
2022,SOM,1861
2022,SRB,454
2022,SSD,258
2022,STP,9
2022,SUR,108
2022,SVK,2188
2022,SVN,646
2022,SWE,9421
2022,SWZ,128
2022,SYC,505
2022,SYR,5254
2022,TCD,144
2022,TGO,44
2022,THA,1213634
2022,TJK,736
2022,TKM,509
2022,TLS,2310
2022,TON,78
2022,TTO,252
2022,TUN,3192
2022,TUR,9217
2022,TUV,1
2022,TWN,58917
2022,TZA,1157
2022,UGA,684
2022,UKR,5432
2022,URY,282
2022,USA,126536
2022,UZB,6274
2022,VAT,10
2022,VCT,9
2022,VEN,530
2022,VNM,200122
2022,VUT,500
2022,WSM,32
2022,XXX,4038
2022,YEM,11499
2022,ZAF,10285
2022,ZAR,1
2022,ZMB,429
2022,ZWE,1037
2023,MAR,13557
2023,Afghanistan,684
2023,AGO,78
2023,AIA,1
2023,ALB,627
2023,AND,88
2023,ARE,8475
2023,ARG,6162
2023,ARM,1099
2023,ATA,2
2023,ATG,276
2023,AUS,409096
2023,AUT,14358
2023,AZE,1712
2023,BDI,82
2023,BEL,21020
2023,BEN,159
2023,BFA,92
2023,BGD,635545
2023,BGR,3630
2023,BHR,2780
2023,BHS,119
2023,BIH,804
2023,BLR,5116
2023,BLZ,140
2023,BMU,1
2023,BOL,623
2023,BRA,15139
2023,BRB,89
2023,BRN,1113225
2023,BTN,673
2023,BVT,1
2023,BWA,230
2023,CAF,8
2023,CAN,84768
2023,CHE,26593
2023,CHL,3510
2023,CHN,1661719
2023,CIV,306
2023,CMR,360
2023,COD,171
2023,COG,55
2023,COK,1
2023,COL,2859
2023,COM,249
2023,CPV,32
2023,CRI,922
2023,CUB,333
2023,CYP,1106
2023,CZE,9728
2023,DEU,144717
2023,DJI,142
2023,DMA,605
2023,DNK,19080
2023,DOM,393
2023,DZA,11814
2023,ECU,1040
2023,EGY,25669
2023,ERI,217
2023,ESP,48872
2023,EST,3331
2023,ETH,472
2023,FIN,10146
2023,FJI,2679
2023,FRA,141828
2023,FSM,15
2023,GAB,134
2023,GBR,325653
2023,GEO,804
2023,GHA,1090
2023,GIB,1
2023,GIN,720
2023,GMB,316
2023,GNB,9
2023,GNQ,19
2023,GRC,4243
2023,GRD,227
2023,GRL,2
2023,GTM,476
2023,GUY,91
2023,HKG,10345
2023,HMD,1
2023,HND,266
2023,HRV,2803
2023,HTI,91
2023,HUN,8016
2023,IDN,3734821
2023,IND,930548
2023,IOT,5
2023,IRL,22383
2023,IRN,23997
2023,IRQ,13814
2023,ISL,570
2023,ISR,2
2023,ITA,58137
2023,JAM,305
2023,JOR,10560
2023,JPN,324050
2023,KAZ,10248
2023,KEN,6254
2023,KGZ,3088
2023,KHM,96644
2023,KIR,19
2023,KNA,1133
2023,KOR,444660
2023,KWT,12842
2023,LAO,23963
2023,LBN,3516
2023,LBR,108
2023,LBY,4396
2023,LCA,226
2023,LIE,97
2023,LKA,66274
2023,LSO,62
2023,LTU,5646
2023,LUX,850
2023,LVA,2826
2023,MAC,83
2023,MCO,34
2023,MDA,443
2023,MDG,1184
2023,MDV,33233
2023,MEX,10541
2023,MHL,55
2023,MKD,579
2023,MLI,158
2023,MLT,823
2023,MMR,156695
2023,MNE,189
2023,MNG,7034
2023,MNP,1
2023,MOZ,337
2023,MRT,260
2023,MUS,22527
2023,MWI,257
2023,MYT,1
2023,NAM,327
2023,NER,36
2023,NGA,5442
2023,NIC,82
2023,NLD,79988
2023,NOR,12004
2023,NPL,165647
2023,NRU,78
2023,NZL,53257
2023,OMN,19439
2023,PAK,157774
2023,PAN,420
2023,PER,2262
2023,PHL,510580
2023,PLW,24
2023,PNG,1140
2023,POL,24114
2023,PRT,12120
2023,PRY,226
2023,PSE,4344
2023,QAT,2725
2023,REU,2
2023,ROU,10684
2023,RUS,133231
2023,RWA,146
2023,SAU,56919
2023,SDN,12704
2023,SEN,894
2023,SGP,14885712
2023,SGS,2
2023,SHN,1
2023,SLB,207
2023,SLE,295
2023,SLV,250
2023,SMR,37
2023,SOM,2736
2023,SRB,1109
2023,SSD,389
2023,STP,22
2023,SUR,342
2023,SVK,5417
2023,SVN,2227
2023,SWE,20681
2023,SWZ,242
2023,SYC,1075
2023,SYR,8291
2023,TCA,2
2023,TCD,345
2023,TGO,125
2023,THA,2362222
2023,TJK,1428
2023,TKM,1368
2023,TLS,2617
2023,TON,189
2023,TTO,531
2023,TUN,10193
2023,TUR,21675
2023,TUV,4
